"Figure 3: Output per worker was 1.4% above its pre-coronavirus (COVID-19) pandemic levels (2019 average level) in January to March 2025",""
"Output per worker, gross value added, workers, UK, index Quarter 1 1997 equals 100, Quarter 1 (Jan to Mar) 1997 to Quarter 1 (Jan to Mar) 2025",""
"",""
"Notes","1. The trendline is constructed as in Figure 1."
"Unit","Index Quarter 1 1997 = 100 "
"",""
"Date","Gross value added","Workers","Output per worker","Output per worker trend"
"Q2 2011","132.7","111.6","118.9","119.2"
"Q3 2011","133.2","111.0","120.0","119.4"
"Q4 2011","133.5","111.3","120.0","119.5"
"Q1 2012","134.8","111.7","120.6","119.7"
"Q2 2012","134.6","112.5","119.6","119.8"
"Q3 2012","136.0","112.9","120.5","120.0"
"Q4 2012","135.9","113.5","119.7","120.1"
"Q1 2013","136.2","113.3","120.3","120.3"
"Q2 2013","137.2","113.7","120.7","120.4"
"Q3 2013","138.2","114.3","120.8","120.5"
"Q4 2013","139.1","115.0","120.9","120.7"
"Q1 2014","140.3","116.0","120.9","120.8"
"Q2 2014","141.6","116.6","121.4","121.0"
"Q3 2014","142.9","117.1","122.0","121.1"
"Q4 2014","143.8","117.5","122.3","121.3"
"Q1 2015","144.0","118.3","121.7","121.4"
"Q2 2015","144.7","118.2","122.5","121.6"
"Q3 2015","145.1","119.0","122.0","121.7"
"Q4 2015","145.8","119.8","121.7","121.9"
"Q1 2016","146.5","119.9","122.2","122.0"
"Q2 2016","147.5","120.6","122.3","122.1"
"Q3 2016","148.3","120.8","122.7","122.3"
"Q4 2016","149.4","121.0","123.5","122.4"
"Q1 2017","150.7","121.4","124.1","122.6"
"Q2 2017","151.6","121.8","124.4","122.7"
"Q3 2017","152.4","121.8","125.1","122.9"
"Q4 2017","153.3","122.1","125.5","123.0"
"Q1 2018","153.5","122.9","124.9","123.2"
"Q2 2018","153.8","123.0","125.0","123.3"
"Q3 2018","154.3","123.2","125.3","123.4"
"Q4 2018","154.5","123.8","124.8","123.6"
"Q1 2019","155.6","124.2","125.3","123.7"
"Q2 2019","156.2","124.9","125.0","123.9"
"Q3 2019","157.5","124.7","126.3","124.0"
"Q4 2019","157.6","125.3","125.8","124.2"
"Q1 2020","153.7","125.0","123.0","124.3"
"Q2 2020","122.7","123.7","99.2","124.5"
"Q3 2020","143.4","122.7","116.9","124.6"
"Q4 2020","145.6","122.3","119.1","124.8"
"Q1 2021","144.0","122.5","117.6","124.9"
"Q2 2021","154.4","123.0","125.5","125.0"
"Q3 2021","156.8","124.0","126.4","125.2"
"Q4 2021","158.9","124.1","128.0","125.3"
"Q1 2022","159.9","124.3","128.7","125.5"
"Q2 2022","160.3","125.1","128.1","125.6"
"Q3 2022","160.2","124.8","128.4","125.8"
"Q4 2022","160.9","125.5","128.1","125.9"
"Q1 2023","161.0","126.3","127.4","126.1"
"Q2 2023","161.0","126.4","127.4","126.2"
"Q3 2023","160.9","126.4","127.3","126.3"
"Q4 2023","160.6","126.5","126.9","126.5"
"Q1 2024","162.0","126.4","128.2","126.6"
"Q2 2024","162.8","126.9","128.2","126.8"
"Q3 2024","162.8","128.0","127.2","126.9"
"Q4 2024","162.9","128.4","126.9","127.1"
"Q1 2025","164.0","128.8","127.4","127.2"
