Quarter,Country,Industry,Value,Variable
1999.75,Denmark,"Agriculture, forestry and fishing",100.279,GVA
2000.0,Denmark,"Agriculture, forestry and fishing",103.143,GVA
2000.25,Denmark,"Agriculture, forestry and fishing",109.524,GVA
2000.5,Denmark,"Agriculture, forestry and fishing",98.712,GVA
2000.75,Denmark,"Agriculture, forestry and fishing",101.149,GVA
2001.0,Denmark,"Agriculture, forestry and fishing",106.165,GVA
2001.25,Denmark,"Agriculture, forestry and fishing",107.597,GVA
2001.5,Denmark,"Agriculture, forestry and fishing",105.351,GVA
2001.75,Denmark,"Agriculture, forestry and fishing",106.308,GVA
2002.0,Denmark,"Agriculture, forestry and fishing",101.878,GVA
2002.25,Denmark,"Agriculture, forestry and fishing",99.278,GVA
2002.5,Denmark,"Agriculture, forestry and fishing",102.625,GVA
2002.75,Denmark,"Agriculture, forestry and fishing",101.176,GVA
2003.0,Denmark,"Agriculture, forestry and fishing",103.284,GVA
2003.25,Denmark,"Agriculture, forestry and fishing",100.294,GVA
2003.5,Denmark,"Agriculture, forestry and fishing",102.311,GVA
2003.75,Denmark,"Agriculture, forestry and fishing",100.485,GVA
2004.0,Denmark,"Agriculture, forestry and fishing",96.578,GVA
2004.25,Denmark,"Agriculture, forestry and fishing",107.955,GVA
2004.5,Denmark,"Agriculture, forestry and fishing",106.934,GVA
2004.75,Denmark,"Agriculture, forestry and fishing",104.489,GVA
2005.0,Denmark,"Agriculture, forestry and fishing",92.717,GVA
2005.25,Denmark,"Agriculture, forestry and fishing",102.82,GVA
2005.5,Denmark,"Agriculture, forestry and fishing",104.229,GVA
2005.75,Denmark,"Agriculture, forestry and fishing",92.501,GVA
2006.0,Denmark,"Agriculture, forestry and fishing",103.389,GVA
2006.25,Denmark,"Agriculture, forestry and fishing",101.276,GVA
2006.5,Denmark,"Agriculture, forestry and fishing",101.487,GVA
2006.75,Denmark,"Agriculture, forestry and fishing",102.114,GVA
2007.0,Denmark,"Agriculture, forestry and fishing",111.19,GVA
2007.25,Denmark,"Agriculture, forestry and fishing",93.649,GVA
2007.5,Denmark,"Agriculture, forestry and fishing",113.218,GVA
2007.75,Denmark,"Agriculture, forestry and fishing",122.496,GVA
2008.0,Denmark,"Agriculture, forestry and fishing",104.621,GVA
2008.25,Denmark,"Agriculture, forestry and fishing",78.833,GVA
2008.5,Denmark,"Agriculture, forestry and fishing",63.498,GVA
2008.75,Denmark,"Agriculture, forestry and fishing",80.907,GVA
2009.0,Denmark,"Agriculture, forestry and fishing",91.909,GVA
2009.25,Denmark,"Agriculture, forestry and fishing",67.031,GVA
2009.5,Denmark,"Agriculture, forestry and fishing",77.639,GVA
2009.75,Denmark,"Agriculture, forestry and fishing",75.649,GVA
2010.0,Denmark,"Agriculture, forestry and fishing",88.402,GVA
2010.25,Denmark,"Agriculture, forestry and fishing",108.228,GVA
2010.5,Denmark,"Agriculture, forestry and fishing",115.652,GVA
2010.75,Denmark,"Agriculture, forestry and fishing",101.146,GVA
2011.0,Denmark,"Agriculture, forestry and fishing",84.822,GVA
2011.25,Denmark,"Agriculture, forestry and fishing",88.682,GVA
2011.5,Denmark,"Agriculture, forestry and fishing",85.965,GVA
2011.75,Denmark,"Agriculture, forestry and fishing",98.519,GVA
2012.0,Denmark,"Agriculture, forestry and fishing",96.491,GVA
2012.25,Denmark,"Agriculture, forestry and fishing",100.885,GVA
2012.5,Denmark,"Agriculture, forestry and fishing",105.955,GVA
2012.75,Denmark,"Agriculture, forestry and fishing",98.297,GVA
2013.0,Denmark,"Agriculture, forestry and fishing",100.248,GVA
2013.25,Denmark,"Agriculture, forestry and fishing",99.509,GVA
2013.5,Denmark,"Agriculture, forestry and fishing",89.087,GVA
2013.75,Denmark,"Agriculture, forestry and fishing",93.448,GVA
2014.0,Denmark,"Agriculture, forestry and fishing",107.183,GVA
2014.25,Denmark,"Agriculture, forestry and fishing",107.496,GVA
2014.5,Denmark,"Agriculture, forestry and fishing",136.73,GVA
2014.75,Denmark,"Agriculture, forestry and fishing",101.562,GVA
2015.0,Denmark,"Agriculture, forestry and fishing",109.155,GVA
2015.25,Denmark,"Agriculture, forestry and fishing",85.019,GVA
2015.5,Denmark,"Agriculture, forestry and fishing",100.968,GVA
2015.75,Denmark,"Agriculture, forestry and fishing",91.639,GVA
2016.0,Denmark,"Agriculture, forestry and fishing",81.958,GVA
2016.25,Denmark,"Agriculture, forestry and fishing",73.158,GVA
2016.5,Denmark,"Agriculture, forestry and fishing",92.066,GVA
2016.75,Denmark,"Agriculture, forestry and fishing",81.417,GVA
2017.0,Denmark,"Agriculture, forestry and fishing",77.278,GVA
2017.25,Denmark,"Agriculture, forestry and fishing",93.032,GVA
2017.5,Denmark,"Agriculture, forestry and fishing",100.222,GVA
2017.75,Denmark,"Agriculture, forestry and fishing",108.415,GVA
2018.0,Denmark,"Agriculture, forestry and fishing",107.245,GVA
2018.25,Denmark,"Agriculture, forestry and fishing",102.19,GVA
2018.5,Denmark,"Agriculture, forestry and fishing",75.187,GVA
2018.75,Denmark,"Agriculture, forestry and fishing",92.749,GVA
2019.0,Denmark,"Agriculture, forestry and fishing",93.382,GVA
2019.25,Denmark,"Agriculture, forestry and fishing",97.793,GVA
2019.5,Denmark,"Agriculture, forestry and fishing",103.076,GVA
2019.75,Denmark,"Agriculture, forestry and fishing",95.978,GVA
2020.0,Denmark,"Agriculture, forestry and fishing",107.197,GVA
2020.25,Denmark,"Agriculture, forestry and fishing",98.269,GVA
2020.5,Denmark,"Agriculture, forestry and fishing",104.376,GVA
2020.75,Denmark,"Agriculture, forestry and fishing",90.158,GVA
2021.0,Denmark,"Agriculture, forestry and fishing",125.635,GVA
2021.25,Denmark,"Agriculture, forestry and fishing",105.547,GVA
2021.5,Denmark,"Agriculture, forestry and fishing",101.056,GVA
2021.75,Denmark,"Agriculture, forestry and fishing",103.842,GVA
2022.0,Denmark,"Agriculture, forestry and fishing",105.791,GVA
2022.25,Denmark,"Agriculture, forestry and fishing",119.854,GVA
2022.5,Denmark,"Agriculture, forestry and fishing",114.268,GVA
2022.75,Denmark,"Agriculture, forestry and fishing",110.271,GVA
2023.0,Denmark,"Agriculture, forestry and fishing",102.11,GVA
2023.25,Denmark,"Agriculture, forestry and fishing",106.985,GVA
2023.5,Denmark,"Agriculture, forestry and fishing",108.303,GVA
2023.75,Denmark,"Agriculture, forestry and fishing",104.553,GVA
2024.0,Denmark,"Agriculture, forestry and fishing",108.464,GVA
2024.25,Denmark,"Agriculture, forestry and fishing",105.7,GVA
2024.5,Denmark,"Agriculture, forestry and fishing",107.555,GVA
2024.75,Denmark,"Agriculture, forestry and fishing",105.911,GVA
1997.0,Euro area,"Agriculture, forestry and fishing",88.522,GVA
1997.25,Euro area,"Agriculture, forestry and fishing",88.076,GVA
1997.5,Euro area,"Agriculture, forestry and fishing",88.468,GVA
1997.75,Euro area,"Agriculture, forestry and fishing",90.187,GVA
1998.0,Euro area,"Agriculture, forestry and fishing",89.331,GVA
1998.25,Euro area,"Agriculture, forestry and fishing",90.228,GVA
1998.5,Euro area,"Agriculture, forestry and fishing",89.953,GVA
1998.75,Euro area,"Agriculture, forestry and fishing",89.828,GVA
1999.0,Euro area,"Agriculture, forestry and fishing",92.045,GVA
1999.25,Euro area,"Agriculture, forestry and fishing",93.397,GVA
1999.5,Euro area,"Agriculture, forestry and fishing",94.557,GVA
1999.75,Euro area,"Agriculture, forestry and fishing",95.314,GVA
2000.0,Euro area,"Agriculture, forestry and fishing",95.993,GVA
2000.25,Euro area,"Agriculture, forestry and fishing",95.727,GVA
2000.5,Euro area,"Agriculture, forestry and fishing",95.392,GVA
2000.75,Euro area,"Agriculture, forestry and fishing",93.379,GVA
2001.0,Euro area,"Agriculture, forestry and fishing",93.151,GVA
2001.25,Euro area,"Agriculture, forestry and fishing",92.231,GVA
2001.5,Euro area,"Agriculture, forestry and fishing",93.094,GVA
2001.75,Euro area,"Agriculture, forestry and fishing",95.157,GVA
2002.0,Euro area,"Agriculture, forestry and fishing",94.632,GVA
2002.25,Euro area,"Agriculture, forestry and fishing",94.434,GVA
2002.5,Euro area,"Agriculture, forestry and fishing",94.508,GVA
2002.75,Euro area,"Agriculture, forestry and fishing",92.75,GVA
2003.0,Euro area,"Agriculture, forestry and fishing",91.089,GVA
2003.25,Euro area,"Agriculture, forestry and fishing",89.678,GVA
2003.5,Euro area,"Agriculture, forestry and fishing",88.768,GVA
2003.75,Euro area,"Agriculture, forestry and fishing",92.152,GVA
2004.0,Euro area,"Agriculture, forestry and fishing",98.966,GVA
2004.25,Euro area,"Agriculture, forestry and fishing",100.879,GVA
2004.5,Euro area,"Agriculture, forestry and fishing",100.672,GVA
2004.75,Euro area,"Agriculture, forestry and fishing",100.417,GVA
2005.0,Euro area,"Agriculture, forestry and fishing",93.067,GVA
2005.25,Euro area,"Agriculture, forestry and fishing",92.168,GVA
2005.5,Euro area,"Agriculture, forestry and fishing",93.086,GVA
2005.75,Euro area,"Agriculture, forestry and fishing",91.354,GVA
2006.0,Euro area,"Agriculture, forestry and fishing",92.262,GVA
2006.25,Euro area,"Agriculture, forestry and fishing",92.597,GVA
2006.5,Euro area,"Agriculture, forestry and fishing",92.644,GVA
2006.75,Euro area,"Agriculture, forestry and fishing",92.732,GVA
2007.0,Euro area,"Agriculture, forestry and fishing",94.099,GVA
2007.25,Euro area,"Agriculture, forestry and fishing",94.606,GVA
2007.5,Euro area,"Agriculture, forestry and fishing",93.564,GVA
2007.75,Euro area,"Agriculture, forestry and fishing",93.765,GVA
2008.0,Euro area,"Agriculture, forestry and fishing",96.747,GVA
2008.25,Euro area,"Agriculture, forestry and fishing",96.88,GVA
2008.5,Euro area,"Agriculture, forestry and fishing",97.42,GVA
2008.75,Euro area,"Agriculture, forestry and fishing",97.879,GVA
2009.0,Euro area,"Agriculture, forestry and fishing",96.04,GVA
2009.25,Euro area,"Agriculture, forestry and fishing",96.77,GVA
2009.5,Euro area,"Agriculture, forestry and fishing",97.53,GVA
2009.75,Euro area,"Agriculture, forestry and fishing",97.124,GVA
2010.0,Euro area,"Agriculture, forestry and fishing",96.009,GVA
2010.25,Euro area,"Agriculture, forestry and fishing",96.061,GVA
2010.5,Euro area,"Agriculture, forestry and fishing",96.311,GVA
2010.75,Euro area,"Agriculture, forestry and fishing",97.389,GVA
2011.0,Euro area,"Agriculture, forestry and fishing",98.996,GVA
2011.25,Euro area,"Agriculture, forestry and fishing",100.104,GVA
2011.5,Euro area,"Agriculture, forestry and fishing",100.257,GVA
2011.75,Euro area,"Agriculture, forestry and fishing",100.112,GVA
2012.0,Euro area,"Agriculture, forestry and fishing",96.962,GVA
2012.25,Euro area,"Agriculture, forestry and fishing",95.999,GVA
2012.5,Euro area,"Agriculture, forestry and fishing",94.234,GVA
2012.75,Euro area,"Agriculture, forestry and fishing",93.856,GVA
2013.0,Euro area,"Agriculture, forestry and fishing",94.527,GVA
2013.25,Euro area,"Agriculture, forestry and fishing",95.575,GVA
2013.5,Euro area,"Agriculture, forestry and fishing",96.689,GVA
2013.75,Euro area,"Agriculture, forestry and fishing",99.219,GVA
2014.0,Euro area,"Agriculture, forestry and fishing",100.639,GVA
2014.25,Euro area,"Agriculture, forestry and fishing",101.899,GVA
2014.5,Euro area,"Agriculture, forestry and fishing",103.477,GVA
2014.75,Euro area,"Agriculture, forestry and fishing",102.744,GVA
2015.0,Euro area,"Agriculture, forestry and fishing",101.21,GVA
2015.25,Euro area,"Agriculture, forestry and fishing",101.643,GVA
2015.5,Euro area,"Agriculture, forestry and fishing",102.446,GVA
2015.75,Euro area,"Agriculture, forestry and fishing",102.74,GVA
2016.0,Euro area,"Agriculture, forestry and fishing",101.544,GVA
2016.25,Euro area,"Agriculture, forestry and fishing",101.041,GVA
2016.5,Euro area,"Agriculture, forestry and fishing",100.398,GVA
2016.75,Euro area,"Agriculture, forestry and fishing",99.153,GVA
2017.0,Euro area,"Agriculture, forestry and fishing",101.166,GVA
2017.25,Euro area,"Agriculture, forestry and fishing",101.467,GVA
2017.5,Euro area,"Agriculture, forestry and fishing",102.146,GVA
2017.75,Euro area,"Agriculture, forestry and fishing",103.452,GVA
2018.0,Euro area,"Agriculture, forestry and fishing",101.27,GVA
2018.25,Euro area,"Agriculture, forestry and fishing",101.343,GVA
2018.5,Euro area,"Agriculture, forestry and fishing",100.908,GVA
2018.75,Euro area,"Agriculture, forestry and fishing",102.302,GVA
2019.0,Euro area,"Agriculture, forestry and fishing",103.196,GVA
2019.25,Euro area,"Agriculture, forestry and fishing",102.785,GVA
2019.5,Euro area,"Agriculture, forestry and fishing",102.566,GVA
2019.75,Euro area,"Agriculture, forestry and fishing",102.683,GVA
2020.0,Euro area,"Agriculture, forestry and fishing",99.573,GVA
2020.25,Euro area,"Agriculture, forestry and fishing",99.73,GVA
2020.5,Euro area,"Agriculture, forestry and fishing",100.216,GVA
2020.75,Euro area,"Agriculture, forestry and fishing",100.481,GVA
2021.0,Euro area,"Agriculture, forestry and fishing",101.725,GVA
2021.25,Euro area,"Agriculture, forestry and fishing",103.106,GVA
2021.5,Euro area,"Agriculture, forestry and fishing",103.219,GVA
2021.75,Euro area,"Agriculture, forestry and fishing",102.238,GVA
2022.0,Euro area,"Agriculture, forestry and fishing",101.444,GVA
2022.25,Euro area,"Agriculture, forestry and fishing",101.06,GVA
2022.5,Euro area,"Agriculture, forestry and fishing",101.937,GVA
2022.75,Euro area,"Agriculture, forestry and fishing",101.624,GVA
2023.0,Euro area,"Agriculture, forestry and fishing",102.211,GVA
2023.25,Euro area,"Agriculture, forestry and fishing",102.716,GVA
2023.5,Euro area,"Agriculture, forestry and fishing",101.482,GVA
2023.75,Euro area,"Agriculture, forestry and fishing",101.857,GVA
2024.0,Euro area,"Agriculture, forestry and fishing",102.776,GVA
2024.25,Euro area,"Agriculture, forestry and fishing",101.178,GVA
2024.5,Euro area,"Agriculture, forestry and fishing",100.665,GVA
2024.75,Euro area,"Agriculture, forestry and fishing",101.065,GVA
1997.0,Spain,"Agriculture, forestry and fishing",79.224,GVA
1997.25,Spain,"Agriculture, forestry and fishing",78.741,GVA
1997.5,Spain,"Agriculture, forestry and fishing",81.247,GVA
1997.75,Spain,"Agriculture, forestry and fishing",84.923,GVA
1998.0,Spain,"Agriculture, forestry and fishing",83.74,GVA
1998.25,Spain,"Agriculture, forestry and fishing",83.371,GVA
1998.5,Spain,"Agriculture, forestry and fishing",84.261,GVA
1998.75,Spain,"Agriculture, forestry and fishing",82.213,GVA
1999.0,Spain,"Agriculture, forestry and fishing",79.644,GVA
1999.25,Spain,"Agriculture, forestry and fishing",82.442,GVA
1999.5,Spain,"Agriculture, forestry and fishing",84.732,GVA
1999.75,Spain,"Agriculture, forestry and fishing",84.274,GVA
2000.0,Spain,"Agriculture, forestry and fishing",87.823,GVA
2000.25,Spain,"Agriculture, forestry and fishing",89.858,GVA
2000.5,Spain,"Agriculture, forestry and fishing",89.49,GVA
2000.75,Spain,"Agriculture, forestry and fishing",89.21,GVA
2001.0,Spain,"Agriculture, forestry and fishing",87.531,GVA
2001.25,Spain,"Agriculture, forestry and fishing",86.017,GVA
2001.5,Spain,"Agriculture, forestry and fishing",86.907,GVA
2001.75,Spain,"Agriculture, forestry and fishing",92.555,GVA
2002.0,Spain,"Agriculture, forestry and fishing",91.69,GVA
2002.25,Spain,"Agriculture, forestry and fishing",87.976,GVA
2002.5,Spain,"Agriculture, forestry and fishing",88.841,GVA
2002.75,Spain,"Agriculture, forestry and fishing",87.645,GVA
2003.0,Spain,"Agriculture, forestry and fishing",87.569,GVA
2003.25,Spain,"Agriculture, forestry and fishing",87.798,GVA
2003.5,Spain,"Agriculture, forestry and fishing",86.195,GVA
2003.75,Spain,"Agriculture, forestry and fishing",93.191,GVA
2004.0,Spain,"Agriculture, forestry and fishing",90.52,GVA
2004.25,Spain,"Agriculture, forestry and fishing",89.388,GVA
2004.5,Spain,"Agriculture, forestry and fishing",85.355,GVA
2004.75,Spain,"Agriculture, forestry and fishing",82.201,GVA
2005.0,Spain,"Agriculture, forestry and fishing",80.687,GVA
2005.25,Spain,"Agriculture, forestry and fishing",80.267,GVA
2005.5,Spain,"Agriculture, forestry and fishing",82.341,GVA
2005.75,Spain,"Agriculture, forestry and fishing",77.265,GVA
2006.0,Spain,"Agriculture, forestry and fishing",83.32,GVA
2006.25,Spain,"Agriculture, forestry and fishing",85.839,GVA
2006.5,Spain,"Agriculture, forestry and fishing",85.737,GVA
2006.75,Spain,"Agriculture, forestry and fishing",85.114,GVA
2007.0,Spain,"Agriculture, forestry and fishing",89.07,GVA
2007.25,Spain,"Agriculture, forestry and fishing",91.652,GVA
2007.5,Spain,"Agriculture, forestry and fishing",91.996,GVA
2007.75,Spain,"Agriculture, forestry and fishing",92.911,GVA
2008.0,Spain,"Agriculture, forestry and fishing",89.451,GVA
2008.25,Spain,"Agriculture, forestry and fishing",90.253,GVA
2008.5,Spain,"Agriculture, forestry and fishing",89.337,GVA
2008.75,Spain,"Agriculture, forestry and fishing",88.192,GVA
2009.0,Spain,"Agriculture, forestry and fishing",84.986,GVA
2009.25,Spain,"Agriculture, forestry and fishing",86.666,GVA
2009.5,Spain,"Agriculture, forestry and fishing",87.009,GVA
2009.75,Spain,"Agriculture, forestry and fishing",86.933,GVA
2010.0,Spain,"Agriculture, forestry and fishing",86.996,GVA
2010.25,Spain,"Agriculture, forestry and fishing",87.861,GVA
2010.5,Spain,"Agriculture, forestry and fishing",88.446,GVA
2010.75,Spain,"Agriculture, forestry and fishing",91.27,GVA
2011.0,Spain,"Agriculture, forestry and fishing",92.619,GVA
2011.25,Spain,"Agriculture, forestry and fishing",94.107,GVA
2011.5,Spain,"Agriculture, forestry and fishing",92.797,GVA
2011.75,Spain,"Agriculture, forestry and fishing",93.318,GVA
2012.0,Spain,"Agriculture, forestry and fishing",85.495,GVA
2012.25,Spain,"Agriculture, forestry and fishing",82.493,GVA
2012.5,Spain,"Agriculture, forestry and fishing",85.076,GVA
2012.75,Spain,"Agriculture, forestry and fishing",85.546,GVA
2013.0,Spain,"Agriculture, forestry and fishing",92.364,GVA
2013.25,Spain,"Agriculture, forestry and fishing",96.715,GVA
2013.5,Spain,"Agriculture, forestry and fishing",96.435,GVA
2013.75,Spain,"Agriculture, forestry and fishing",99.933,GVA
2014.0,Spain,"Agriculture, forestry and fishing",97.02,GVA
2014.25,Spain,"Agriculture, forestry and fishing",94.616,GVA
2014.5,Spain,"Agriculture, forestry and fishing",96.766,GVA
2014.75,Spain,"Agriculture, forestry and fishing",92.555,GVA
2015.0,Spain,"Agriculture, forestry and fishing",96.842,GVA
2015.25,Spain,"Agriculture, forestry and fishing",99.119,GVA
2015.5,Spain,"Agriculture, forestry and fishing",100.442,GVA
2015.75,Spain,"Agriculture, forestry and fishing",102.973,GVA
2016.0,Spain,"Agriculture, forestry and fishing",105.543,GVA
2016.25,Spain,"Agriculture, forestry and fishing",105.072,GVA
2016.5,Spain,"Agriculture, forestry and fishing",104.322,GVA
2016.75,Spain,"Agriculture, forestry and fishing",102.414,GVA
2017.0,Spain,"Agriculture, forestry and fishing",99.246,GVA
2017.25,Spain,"Agriculture, forestry and fishing",99.641,GVA
2017.5,Spain,"Agriculture, forestry and fishing",100.607,GVA
2017.75,Spain,"Agriculture, forestry and fishing",103.304,GVA
2018.0,Spain,"Agriculture, forestry and fishing",103.279,GVA
2018.25,Spain,"Agriculture, forestry and fishing",105.759,GVA
2018.5,Spain,"Agriculture, forestry and fishing",102.49,GVA
2018.75,Spain,"Agriculture, forestry and fishing",108.163,GVA
2019.0,Spain,"Agriculture, forestry and fishing",104.042,GVA
2019.25,Spain,"Agriculture, forestry and fishing",101.04,GVA
2019.5,Spain,"Agriculture, forestry and fishing",101.32,GVA
2019.75,Spain,"Agriculture, forestry and fishing",101.676,GVA
2020.0,Spain,"Agriculture, forestry and fishing",95.43,GVA
