,Quarter,Industry,Value,Country,Variable
55,2010 Q4,Total,94.67595304155552,UK,GVA
56,2011 Q1,Total,95.11372016149635,UK,GVA
57,2011 Q2,Total,95.2609812721798,UK,GVA
58,2011 Q3,Total,95.61708541255982,UK,GVA
59,2011 Q4,Total,95.80807861065837,UK,GVA
60,2012 Q1,Total,96.60663545177366,UK,GVA
61,2012 Q2,Total,96.37548013257961,UK,GVA
62,2012 Q3,Total,97.31371190594925,UK,GVA
63,2012 Q4,Total,97.18831683897331,UK,GVA
64,2013 Q1,Total,97.49600331114375,UK,GVA
65,2013 Q2,Total,98.1901386374108,UK,GVA
66,2013 Q3,Total,98.81242839149589,UK,GVA
67,2013 Q4,Total,99.4338256540011,UK,GVA
68,2014 Q1,Total,100.3437208197089,UK,GVA
69,2014 Q2,Total,101.39462965504084,UK,GVA
70,2014 Q3,Total,102.3138959823376,UK,GVA
71,2014 Q4,Total,103.02409615704282,UK,GVA
72,2015 Q1,Total,103.13878132505994,UK,GVA
73,2015 Q2,Total,103.56137608814247,UK,GVA
74,2015 Q3,Total,103.74478310781188,UK,GVA
75,2015 Q4,Total,104.15532923456574,UK,GVA
76,2016 Q1,Total,104.59153449424177,UK,GVA
77,2016 Q2,Total,105.32605506449923,UK,GVA
78,2016 Q3,Total,105.92112382539742,UK,GVA
79,2016 Q4,Total,106.82075533793636,UK,GVA
80,2017 Q1,Total,107.9330229693864,UK,GVA
81,2017 Q2,Total,108.61912587143433,UK,GVA
82,2017 Q3,Total,109.19210546573,UK,GVA
83,2017 Q4,Total,109.7742330987196,UK,GVA
84,2018 Q1,Total,109.73362473183417,UK,GVA
85,2018 Q2,Total,110.00784276975837,UK,GVA
86,2018 Q3,Total,110.35524511723433,UK,GVA
87,2018 Q4,Total,110.45810477181779,UK,GVA
88,2019 Q1,Total,111.26380154557229,UK,GVA
89,2019 Q2,Total,111.65270475151361,UK,GVA
90,2019 Q3,Total,112.69491179394153,UK,GVA
91,2019 Q4,Total,112.86671642307225,UK,GVA
92,2020 Q1,Total,109.80011535453671,UK,GVA
93,2020 Q2,Total,85.25592753860862,UK,GVA
94,2020 Q3,Total,101.60637328237205,UK,GVA
95,2020 Q4,Total,103.33758382448262,UK,GVA
96,2021 Q1,Total,101.99326838225859,UK,GVA
97,2021 Q2,Total,110.04956675111868,UK,GVA
98,2021 Q3,Total,111.90728797468002,UK,GVA
99,2021 Q4,Total,113.52582145482822,UK,GVA
100,2022 Q1,Total,114.40559502971439,UK,GVA
101,2022 Q2,Total,114.67356562657929,UK,GVA
102,2022 Q3,Total,114.63920470075315,UK,GVA
103,2022 Q4,Total,115.10017660177132,UK,GVA
104,2023 Q1,Total,115.21843173610809,UK,GVA
105,2023 Q2,Total,115.17202217395335,UK,GVA
106,2023 Q3,Total,115.01405116431098,UK,GVA
107,2023 Q4,Total,114.69052296659738,UK,GVA
108,2024 Q1,Total,115.79275006777357,UK,GVA
109,2024 Q2,Total,116.31530388780489,UK,GVA
110,2024 Q3,Total,116.28942163198776,UK,GVA
111,2024 Q4,Total,116.33716993151238,UK,GVA
112,2025 Q1,Total,117.23055400299202,UK,GVA
113,1997 Q1,"Agriculture, forestry and fishing",54.919955116592476,UK,GVA
114,1997 Q2,"Agriculture, forestry and fishing",59.276530689895715,UK,GVA
115,1997 Q3,"Agriculture, forestry and fishing",59.054541156442,UK,GVA
116,1997 Q4,"Agriculture, forestry and fishing",59.012275894741016,UK,GVA
117,1998 Q1,"Agriculture, forestry and fishing",59.64171119341536,UK,GVA
118,1998 Q2,"Agriculture, forestry and fishing",61.37770073735438,UK,GVA
119,1998 Q3,"Agriculture, forestry and fishing",61.57397906214142,UK,GVA
120,1998 Q4,"Agriculture, forestry and fishing",65.37895833700718,UK,GVA
121,1999 Q1,"Agriculture, forestry and fishing",70.23577133864303,UK,GVA
122,1999 Q2,"Agriculture, forestry and fishing",72.20450896182734,UK,GVA
123,1999 Q3,"Agriculture, forestry and fishing",72.34446537796066,UK,GVA
124,1999 Q4,"Agriculture, forestry and fishing",71.11780687075813,UK,GVA
125,2000 Q1,"Agriculture, forestry and fishing",69.8894834261679,UK,GVA
126,2000 Q2,"Agriculture, forestry and fishing",69.99796490000605,UK,GVA
127,2000 Q3,"Agriculture, forestry and fishing",71.08710084992829,UK,GVA
128,2000 Q4,"Agriculture, forestry and fishing",72.50920521322399,UK,GVA
129,2001 Q1,"Agriculture, forestry and fishing",76.6446872689959,UK,GVA
130,2001 Q2,"Agriculture, forestry and fishing",76.93458972558878,UK,GVA
131,2001 Q3,"Agriculture, forestry and fishing",81.17439091172956,UK,GVA
132,2001 Q4,"Agriculture, forestry and fishing",82.76129865751713,UK,GVA
133,2002 Q1,"Agriculture, forestry and fishing",88.3311179180784,UK,GVA
134,2002 Q2,"Agriculture, forestry and fishing",90.14248082978702,UK,GVA
135,2002 Q3,"Agriculture, forestry and fishing",91.29126856313839,UK,GVA
136,2002 Q4,"Agriculture, forestry and fishing",93.0894072965881,UK,GVA
137,2003 Q1,"Agriculture, forestry and fishing",88.79245173309974,UK,GVA
138,2003 Q2,"Agriculture, forestry and fishing",90.90367495211319,UK,GVA
139,2003 Q3,"Agriculture, forestry and fishing",88.06446103768495,UK,GVA
140,2003 Q4,"Agriculture, forestry and fishing",89.62575289564865,UK,GVA
141,2004 Q1,"Agriculture, forestry and fishing",89.76244298423507,UK,GVA
142,2004 Q2,"Agriculture, forestry and fishing",86.46852323072203,UK,GVA
143,2004 Q3,"Agriculture, forestry and fishing",87.23468039159708,UK,GVA
144,2004 Q4,"Agriculture, forestry and fishing",87.5138243023984,UK,GVA
145,2005 Q1,"Agriculture, forestry and fishing",95.0797891058127,UK,GVA
146,2005 Q2,"Agriculture, forestry and fishing",93.47463059598881,UK,GVA
147,2005 Q3,"Agriculture, forestry and fishing",96.55322056559892,UK,GVA
148,2005 Q4,"Agriculture, forestry and fishing",95.24376001961068,UK,GVA
149,2006 Q1,"Agriculture, forestry and fishing",95.49802519043915,UK,GVA
150,2006 Q2,"Agriculture, forestry and fishing",94.16455014678618,UK,GVA
151,2006 Q3,"Agriculture, forestry and fishing",97.39475109424355,UK,GVA
152,2006 Q4,"Agriculture, forestry and fishing",84.12538440115713,UK,GVA
153,2007 Q1,"Agriculture, forestry and fishing",81.62909675081431,UK,GVA
154,2007 Q2,"Agriculture, forestry and fishing",82.00349795719491,UK,GVA
155,2007 Q3,"Agriculture, forestry and fishing",79.82519428373615,UK,GVA
156,2007 Q4,"Agriculture, forestry and fishing",87.6463202739013,UK,GVA
157,2008 Q1,"Agriculture, forestry and fishing",94.88175052279513,UK,GVA
158,2008 Q2,"Agriculture, forestry and fishing",102.78820773144177,UK,GVA
159,2008 Q3,"Agriculture, forestry and fishing",107.29802744636577,UK,GVA
160,2008 Q4,"Agriculture, forestry and fishing",104.26663400339122,UK,GVA
161,2009 Q1,"Agriculture, forestry and fishing",115.24431605786043,UK,GVA
162,2009 Q2,"Agriculture, forestry and fishing",111.5445519292859,UK,GVA
163,2009 Q3,"Agriculture, forestry and fishing",105.43956332886437,UK,GVA
164,2009 Q4,"Agriculture, forestry and fishing",103.87919926043733,UK,GVA
165,2010 Q1,"Agriculture, forestry and fishing",95.06169720984772,UK,GVA
166,2010 Q2,"Agriculture, forestry and fishing",88.04230211909353,UK,GVA
167,2010 Q3,"Agriculture, forestry and fishing",85.19642845511446,UK,GVA
168,2010 Q4,"Agriculture, forestry and fishing",82.76216289982526,UK,GVA
169,2011 Q1,"Agriculture, forestry and fishing",90.9782158511889,UK,GVA
170,2011 Q2,"Agriculture, forestry and fishing",92.02258913332862,UK,GVA
171,2011 Q3,"Agriculture, forestry and fishing",91.34009825354741,UK,GVA
172,2011 Q4,"Agriculture, forestry and fishing",90.68415105112678,UK,GVA
173,2012 Q1,"Agriculture, forestry and fishing",90.5857227488434,UK,GVA
174,2012 Q2,"Agriculture, forestry and fishing",87.44421466825727,UK,GVA
175,2012 Q3,"Agriculture, forestry and fishing",84.92224758286201,UK,GVA
176,2012 Q4,"Agriculture, forestry and fishing",84.98769487353388,UK,GVA
177,2013 Q1,"Agriculture, forestry and fishing",80.9665533460714,UK,GVA
178,2013 Q2,"Agriculture, forestry and fishing",84.05260376031195,UK,GVA
179,2013 Q3,"Agriculture, forestry and fishing",91.13161886088098,UK,GVA
180,2013 Q4,"Agriculture, forestry and fishing",93.32474810275778,UK,GVA
181,2014 Q1,"Agriculture, forestry and fishing",106.32726727376513,UK,GVA
182,2014 Q2,"Agriculture, forestry and fishing",112.09346017995622,UK,GVA
183,2014 Q3,"Agriculture, forestry and fishing",115.68554352977208,UK,GVA
184,2014 Q4,"Agriculture, forestry and fishing",121.08162466750898,UK,GVA
185,2015 Q1,"Agriculture, forestry and fishing",103.88973539092908,UK,GVA
186,2015 Q2,"Agriculture, forestry and fishing",102.343459743069,UK,GVA
187,2015 Q3,"Agriculture, forestry and fishing",98.54017717920523,UK,GVA
188,2015 Q4,"Agriculture, forestry and fishing",97.67962696505901,UK,GVA
189,2016 Q1,"Agriculture, forestry and fishing",92.97855551112544,UK,GVA
190,2016 Q2,"Agriculture, forestry and fishing",91.75522687869838,UK,GVA
191,2016 Q3,"Agriculture, forestry and fishing",92.49484036221283,UK,GVA
192,2016 Q4,"Agriculture, forestry and fishing",94.21677325919912,UK,GVA
193,2017 Q1,"Agriculture, forestry and fishing",97.21912561873157,UK,GVA
194,2017 Q2,"Agriculture, forestry and fishing",95.40526530094141,UK,GVA
195,2017 Q3,"Agriculture, forestry and fishing",91.23254456924593,UK,GVA
196,2017 Q4,"Agriculture, forestry and fishing",89.03189133551012,UK,GVA
197,2018 Q1,"Agriculture, forestry and fishing",81.63815858560392,UK,GVA
198,2018 Q2,"Agriculture, forestry and fishing",78.93726792353553,UK,GVA
199,2018 Q3,"Agriculture, forestry and fishing",79.9344764526539,UK,GVA
200,2018 Q4,"Agriculture, forestry and fishing",82.67097262687246,UK,GVA
201,2019 Q1,"Agriculture, forestry and fishing",84.64051094513634,UK,GVA
202,2019 Q2,"Agriculture, forestry and fishing",93.10685736554478,UK,GVA
203,2019 Q3,"Agriculture, forestry and fishing",100.61406640145232,UK,GVA
204,2019 Q4,"Agriculture, forestry and fishing",105.46341895845772,UK,GVA
205,2020 Q1,"Agriculture, forestry and fishing",105.49082687812641,UK,GVA
206,2020 Q2,"Agriculture, forestry and fishing",96.29815469969091,UK,GVA
207,2020 Q3,"Agriculture, forestry and fishing",99.13410228657224,UK,GVA
208,2020 Q4,"Agriculture, forestry and fishing",99.07691613561043,UK,GVA
209,2021 Q1,"Agriculture, forestry and fishing",92.52788492105289,UK,GVA
210,2021 Q2,"Agriculture, forestry and fishing",86.83613759309469,UK,GVA
211,2021 Q3,"Agriculture, forestry and fishing",83.00218078201537,UK,GVA
212,2021 Q4,"Agriculture, forestry and fishing",82.24931134662774,UK,GVA
213,2022 Q1,"Agriculture, forestry and fishing",87.80433681238523,UK,GVA
214,2022 Q2,"Agriculture, forestry and fishing",90.92186216892094,UK,GVA
215,2022 Q3,"Agriculture, forestry and fishing",93.11342179425282,UK,GVA
216,2022 Q4,"Agriculture, forestry and fishing",94.1064997535162,UK,GVA
217,2023 Q1,"Agriculture, forestry and fishing",94.28209345541391,UK,GVA
218,2023 Q2,"Agriculture, forestry and fishing",94.6249879458851,UK,GVA
219,2023 Q3,"Agriculture, forestry and fishing",94.81796816951096,UK,GVA
220,2023 Q4,"Agriculture, forestry and fishing",95.21718456863586,UK,GVA
221,2024 Q1,"Agriculture, forestry and fishing",94.86186659498539,UK,GVA
222,2024 Q2,"Agriculture, forestry and fishing",95.17245367446756,UK,GVA
223,2024 Q3,"Agriculture, forestry and fishing",95.10783885248954,UK,GVA
224,2024 Q4,"Agriculture, forestry and fishing",96.42309490572053,UK,GVA
225,2025 Q1,"Agriculture, forestry and fishing",96.84632580251012,UK,GVA
226,1997 Q1,Real estate,51.61799928655149,UK,GVA
227,1997 Q2,Real estate,50.18600621719411,UK,GVA
228,1997 Q3,Real estate,48.23931101258727,UK,GVA
229,1997 Q4,Real estate,46.71558884981909,UK,GVA
230,1998 Q1,Real estate,46.333384293940775,UK,GVA
231,1998 Q2,Real estate,45.99704428476786,UK,GVA
232,1998 Q3,Real estate,45.650512154104874,UK,GVA
233,1998 Q4,Real estate,45.21225093003108,UK,GVA
234,1999 Q1,Real estate,45.88493094837691,UK,GVA
235,1999 Q2,Real estate,44.58543545839066,UK,GVA
236,1999 Q3,Real estate,44.335728481883514,UK,GVA
237,1999 Q4,Real estate,43.51016664118636,UK,GVA
238,2000 Q1,Real estate,43.19421087499363,UK,GVA
239,2000 Q2,Real estate,42.312592366101,UK,GVA
240,2000 Q3,Real estate,42.80181419762523,UK,GVA
241,2000 Q4,Real estate,42.98527238444681,UK,GVA
242,2001 Q1,Real estate,42.236151454925334,UK,GVA
243,2001 Q2,Real estate,42.55720328186312,UK,GVA
244,2001 Q3,Real estate,43.35728481883503,UK,GVA
245,2001 Q4,Real estate,43.6885287672629,UK,GVA
246,2002 Q1,Real estate,43.78535392141874,UK,GVA
247,2002 Q2,Real estate,45.00840850022932,UK,GVA
248,2002 Q3,Real estate,45.278499719716656,UK,GVA
249,2002 Q4,Real estate,46.70030066758395,UK,GVA
250,2003 Q1,Real estate,48.82535799826734,UK,GVA
251,2003 Q2,Real estate,49.691688324924826,UK,GVA
252,2003 Q3,Real estate,48.845742241247514,UK,GVA
253,2003 Q4,Real estate,48.23421495184222,UK,GVA
254,2004 Q1,Real estate,47.78576160627835,UK,GVA
255,2004 Q2,Real estate,47.204810681343325,UK,GVA
256,2004 Q3,Real estate,47.750089181063046,UK,GVA
257,2004 Q4,Real estate,47.90806706415939,UK,GVA
258,2005 Q1,Real estate,49.23304285787086,UK,GVA
259,2005 Q2,Real estate,50.53763440860215,UK,GVA
260,2005 Q3,Real estate,51.49569382867043,UK,GVA
261,2005 Q4,Real estate,52.31106354787749,UK,GVA
262,2006 Q1,Real estate,52.10212505733068,UK,GVA
263,2006 Q2,Real estate,52.19385415074147,UK,GVA
264,2006 Q3,Real estate,51.984915660194666,UK,GVA
265,2006 Q4,Real estate,51.674055954746976,UK,GVA
266,2007 Q1,Real estate,52.19385415074147,UK,GVA
267,2007 Q2,Real estate,53.26912296794578,UK,GVA
268,2007 Q3,Real estate,54.527849971971676,UK,GVA
269,2007 Q4,Real estate,56.40320032614788,UK,GVA
270,2008 Q1,Real estate,57.63644702644854,UK,GVA
271,2008 Q2,Real estate,58.711715843652854,UK,GVA
272,2008 Q3,Real estate,59.38439586199868,UK,GVA
273,2008 Q4,Real estate,60.225245884930935,UK,GVA
274,2009 Q1,Real estate,62.4165520052999,UK,GVA
275,2009 Q2,Real estate,63.89440962136269,UK,GVA
276,2009 Q3,Real estate,64.63843449013913,UK,GVA
277,2009 Q4,Real estate,66.22840544259287,UK,GVA
278,2010 Q1,Real estate,66.86541303572339,UK,GVA
279,2010 Q2,Real estate,69.54084492687153,UK,GVA
280,2010 Q3,Real estate,71.7219589257504,UK,GVA
281,2010 Q4,Real estate,73.58711715843653,UK,GVA
282,2011 Q1,Real estate,76.05361055903785,UK,GVA
283,2011 Q2,Real estate,78.60673699230493,UK,GVA
284,2011 Q3,Real estate,80.94073281353515,UK,GVA
285,2011 Q4,Real estate,83.3766498496662,UK,GVA
286,2012 Q1,Real estate,86.3935178107323,UK,GVA
287,2012 Q2,Real estate,88.68164908525709,UK,GVA
288,2012 Q3,Real estate,90.68949701880446,UK,GVA
289,2012 Q4,Real estate,91.91764765836008,UK,GVA
290,2013 Q1,Real estate,91.58640370993221,UK,GVA
291,2013 Q2,Real estate,93.0183967792896,UK,GVA
292,2013 Q3,Real estate,94.14462620394434,UK,GVA
293,2013 Q4,Real estate,95.37277684349998,UK,GVA
294,2014 Q1,Real estate,96.80476991285735,UK,GVA
295,2014 Q2,Real estate,97.51312235641848,UK,GVA
296,2014 Q3,Real estate,97.84946236559139,UK,GVA
297,2014 Q4,Real estate,97.51821841716351,UK,GVA
298,2015 Q1,Real estate,97.53860266014371,UK,GVA
299,2015 Q2,Real estate,98.80242572491463,UK,GVA
300,2015 Q3,Real estate,100.44845334556388,UK,GVA
301,2015 Q4,Real estate,99.82163787392345,UK,GVA
302,2016 Q1,Real estate,99.64837180859195,UK,GVA
303,2016 Q2,Real estate,98.60877541660295,UK,GVA
304,2016 Q3,Real estate,97.6303317535545,UK,GVA
305,2016 Q4,Real estate,98.31829995413544,UK,GVA
306,2017 Q1,Real estate,98.5883911736228,UK,GVA
307,2017 Q2,Real estate,99.36808846761454,UK,GVA
308,2017 Q3,Real estate,99.86240635988379,UK,GVA
309,2017 Q4,Real estate,99.88279060286398,UK,GVA
310,2018 Q1,Real estate,98.7871375426795,UK,GVA
311,2018 Q2,Real estate,98.88396269683534,UK,GVA
312,2018 Q3,Real estate,100.36691637364316,UK,GVA
313,2018 Q4,Real estate,100.84085002293226,UK,GVA
314,2019 Q1,Real estate,100.43826122407378,UK,GVA
315,2019 Q2,Real estate,102.07919278397799,UK,GVA
316,2019 Q3,Real estate,102.68052795189317,UK,GVA
317,2019 Q4,Real estate,103.92906283442898,UK,GVA
318,2020 Q1,Real estate,104.59664679202976,UK,GVA
319,2020 Q2,Real estate,97.30927992661672,UK,GVA
320,2020 Q3,Real estate,98.7056005707588,UK,GVA
321,2020 Q4,Real estate,99.3884727105947,UK,GVA
322,2021 Q1,Real estate,102.98119553585077,UK,GVA
323,2021 Q2,Real estate,102.80283340977425,UK,GVA
324,2021 Q3,Real estate,102.40534067166081,UK,GVA
325,2021 Q4,Real estate,102.89965856393006,UK,GVA
326,2022 Q1,Real estate,103.89339040921368,UK,GVA
327,2022 Q2,Real estate,106.29873108087445,UK,GVA
328,2022 Q3,Real estate,107.0376598889059,UK,GVA
329,2022 Q4,Real estate,106.43122866024557,UK,GVA
330,2023 Q1,Real estate,105.70758803444934,UK,GVA
331,2023 Q2,Real estate,104.38770830148295,UK,GVA
332,2023 Q3,Real estate,102.2320746063293,UK,GVA
333,2023 Q4,Real estate,101.9874636905672,UK,GVA
334,2024 Q1,Real estate,101.76323701778524,UK,GVA
335,2024 Q2,Real estate,101.24853488253581,UK,GVA
336,2024 Q3,Real estate,100.85613820516741,UK,GVA
337,2024 Q4,Real estate,101.17209397136013,UK,GVA
338,2025 Q1,Real estate,100.70325638281608,UK,GVA
339,1997 Q1,Manufacturing,75.45948431955671,UK,GVA
340,1997 Q2,Manufacturing,76.86128516601683,UK,GVA
341,1997 Q3,Manufacturing,77.93208552689964,UK,GVA
342,1997 Q4,Manufacturing,79.20292095732904,UK,GVA
343,1998 Q1,Manufacturing,79.59744364166387,UK,GVA
344,1998 Q2,Manufacturing,80.46502576805385,UK,GVA
345,1998 Q3,Manufacturing,79.89658423877016,UK,GVA
346,1998 Q4,Manufacturing,80.12075598890094,UK,GVA
347,1999 Q1,Manufacturing,82.14797552683282,UK,GVA
348,1999 Q2,Manufacturing,83.24209292612903,UK,GVA
349,1999 Q3,Manufacturing,84.43437436625906,UK,GVA
350,1999 Q4,Manufacturing,84.54930622402038,UK,GVA
351,2000 Q1,Manufacturing,86.07027185345206,UK,GVA
352,2000 Q2,Manufacturing,85.81350584688265,UK,GVA
353,2000 Q3,Manufacturing,85.92877099753375,UK,GVA
354,2000 Q4,Manufacturing,87.99298774371971,UK,GVA
355,2001 Q1,Manufacturing,87.69298705985378,UK,GVA
356,2001 Q2,Manufacturing,86.93555468063316,UK,GVA
357,2001 Q3,Manufacturing,88.10810551626172,UK,GVA
358,2001 Q4,Manufacturing,87.15259557081825,UK,GVA
359,2002 Q1,Manufacturing,87.41584260899012,UK,GVA
360,2002 Q2,Manufacturing,85.95002107640347,UK,GVA
361,2002 Q3,Manufacturing,91.63816170552099,UK,GVA
362,2002 Q4,Manufacturing,90.4437089676291,UK,GVA
363,2003 Q1,Manufacturing,89.95619376758619,UK,GVA
364,2003 Q2,Manufacturing,89.24130970887487,UK,GVA
365,2003 Q3,Manufacturing,89.5996819211719,UK,GVA
366,2003 Q4,Manufacturing,91.06058275726602,UK,GVA
367,2004 Q1,Manufacturing,92.77278847924015,UK,GVA
368,2004 Q2,Manufacturing,92.72163354792244,UK,GVA
369,2004 Q3,Manufacturing,91.08245983852667,UK,GVA
370,2004 Q4,Manufacturing,91.25055811443126,UK,GVA
371,2005 Q1,Manufacturing,91.55577286329778,UK,GVA
372,2005 Q2,Manufacturing,92.10311709229227,UK,GVA
373,2005 Q3,Manufacturing,92.03072729503151,UK,GVA
374,2005 Q4,Manufacturing,93.26303617550406,UK,GVA
375,2006 Q1,Manufacturing,94.59854351821456,UK,GVA
376,2006 Q2,Manufacturing,97.5327434258855,UK,GVA
377,2006 Q3,Manufacturing,98.34648845222954,UK,GVA
378,2006 Q4,Manufacturing,99.2812960879291,UK,GVA
379,2007 Q1,Manufacturing,97.43184313194034,UK,GVA
380,2007 Q2,Manufacturing,96.19400042357704,UK,GVA
381,2007 Q3,Manufacturing,96.26980693855434,UK,GVA
382,2007 Q4,Manufacturing,97.24826126924724,UK,GVA
383,2008 Q1,Manufacturing,96.5354707932563,UK,GVA
384,2008 Q2,Manufacturing,95.91427840430262,UK,GVA
385,2008 Q3,Manufacturing,94.82921480265267,UK,GVA
386,2008 Q4,Manufacturing,91.81274039757491,UK,GVA
387,2009 Q1,Manufacturing,85.96852198903255,UK,GVA
388,2009 Q2,Manufacturing,85.65259868406481,UK,GVA
389,2009 Q3,Manufacturing,86.32192543402032,UK,GVA
390,2009 Q4,Manufacturing,87.52473691414205,UK,GVA
391,2010 Q1,Manufacturing,87.79292251685537,UK,GVA
392,2010 Q2,Manufacturing,88.99770335042896,UK,GVA
393,2010 Q3,Manufacturing,88.07941482653985,UK,GVA
394,2010 Q4,Manufacturing,87.13191618778102,UK,GVA
395,2011 Q1,Manufacturing,83.86378189970696,UK,GVA
396,2011 Q2,Manufacturing,83.47174049082356,UK,GVA
397,2011 Q3,Manufacturing,83.29783155331079,UK,GVA
398,2011 Q4,Manufacturing,84.60923079316129,UK,GVA
399,2012 Q1,Manufacturing,85.95254959981919,UK,GVA
400,2012 Q2,Manufacturing,87.34005123244671,UK,GVA
401,2012 Q3,Manufacturing,88.33959600920035,UK,GVA
402,2012 Q4,Manufacturing,88.17854151824591,UK,GVA
403,2013 Q1,Manufacturing,87.88905016978761,UK,GVA
404,2013 Q2,Manufacturing,89.38099659739261,UK,GVA
405,2013 Q3,Manufacturing,91.3869409461928,UK,GVA
406,2013 Q4,Manufacturing,92.23559678683625,UK,GVA
407,2014 Q1,Manufacturing,93.41277136617256,UK,GVA
408,2014 Q2,Manufacturing,93.66783584050076,UK,GVA
409,2014 Q3,Manufacturing,94.55500357008614,UK,GVA
410,2014 Q4,Manufacturing,95.32686239622974,UK,GVA
411,2015 Q1,Manufacturing,97.2297644817858,UK,GVA
412,2015 Q2,Manufacturing,98.19114779644917,UK,GVA
413,2015 Q3,Manufacturing,98.0663230694682,UK,GVA
414,2015 Q4,Manufacturing,98.2969315984976,UK,GVA
415,2016 Q1,Manufacturing,96.27979083710326,UK,GVA
416,2016 Q2,Manufacturing,96.3623473848419,UK,GVA
417,2016 Q3,Manufacturing,94.89119241610997,UK,GVA
418,2016 Q4,Manufacturing,95.28699236739602,UK,GVA
419,2017 Q1,Manufacturing,96.1508269806541,UK,GVA
420,2017 Q2,Manufacturing,96.75669715709257,UK,GVA
421,2017 Q3,Manufacturing,97.73042282224253,UK,GVA
422,2017 Q4,Manufacturing,100.1285567061226,UK,GVA
423,2018 Q1,Manufacturing,100.82555280599637,UK,GVA
424,2018 Q2,Manufacturing,101.29325252458881,UK,GVA
425,2018 Q3,Manufacturing,100.77418721686786,UK,GVA
426,2018 Q4,Manufacturing,97.66769065045325,UK,GVA
427,2019 Q1,Manufacturing,99.32379803317217,UK,GVA
428,2019 Q2,Manufacturing,98.66610864433996,UK,GVA
429,2019 Q3,Manufacturing,99.92706558730488,UK,GVA
430,2019 Q4,Manufacturing,101.91556572383456,UK,GVA
431,2020 Q1,Manufacturing,103.369175857687,UK,GVA
432,2020 Q2,Manufacturing,82.75570911534092,UK,GVA
433,2020 Q3,Manufacturing,105.25803008690858,UK,GVA
434,2020 Q4,Manufacturing,108.6170849400635,UK,GVA
435,2021 Q1,Manufacturing,104.46226240306042,UK,GVA
436,2021 Q2,Manufacturing,104.48170760512585,UK,GVA
437,2021 Q3,Manufacturing,101.26733095890282,UK,GVA
438,2021 Q4,Manufacturing,99.42296778722,UK,GVA
439,2022 Q1,Manufacturing,96.52083369079179,UK,GVA
440,2022 Q2,Manufacturing,94.83398954728767,UK,GVA
441,2022 Q3,Manufacturing,92.75192058554713,UK,GVA
442,2022 Q4,Manufacturing,92.19704059089459,UK,GVA
